Bitcoin,"$108,307.91",0.01%,4.21%,22-10-2025 14:24
Ethereum,"$3,855.54",0.18%,7.87%,22-10-2025 14:24
Tether,$1.00,0.01%,0.02%,22-10-2025 14:24
BNB,"$1,070.29",0.07%,11.38%,22-10-2025 14:24
XRP,$2.40,0.13%,4.86%,22-10-2025 14:24
Solana,$184.81,0.03%,10.37%,22-10-2025 14:24
USDC,$1.00,0.01%,0.01%,22-10-2025 14:24
TRON,$0.3243,0.53%,1.22%,22-10-2025 14:24
Dogecoin,$0.1915,0.07%,7.22%,22-10-2025 14:24
Cardano,$0.6356,0.16%,10.19%,22-10-2025 14:24
Bitcoin,"$108,242.30",0.09%,3.60%,2025-10-22 19:47:55
Ethereum,"$3,845.98",0.34%,6.19%,2025-10-22 19:47:55
Tether,$1.00,0.03%,0.07%,2025-10-22 19:47:55
BNB,"$1,075.64",0.32%,9.26%,2025-10-22 19:47:55
XRP,$2.38,0.73%,4.74%,2025-10-22 19:47:55
Solana,$185.02,0.57%,9.54%,2025-10-22 19:47:55
USDC,$0.9997,0.01%,0.01%,2025-10-22 19:47:55
TRON,$0.3214,0.14%,1.20%,2025-10-22 19:47:55
Dogecoin,$0.1908,0.54%,5.97%,2025-10-22 19:47:55
Cardano,$0.6364,0.57%,8.11%,2025-10-22 19:47:55
"Bitcoin
BTC
Buy","$108,188.31",0.18%,3.53%,2025-10-22 19:49:02
"Ethereum
ETH
Buy","$3,836.28",0.70%,6.22%,2025-10-22 19:49:02
"Tether
USDT
Buy",$1.00,0.00%,0.05%,2025-10-22 19:49:02
"BNB
BNB
Buy","$1,075.65",0.35%,9.35%,2025-10-22 19:49:02
"XRP
XRP
Buy",$2.38,0.73%,4.74%,2025-10-22 19:49:02
"Solana
SOL
Buy",$184.92,0.60%,9.60%,2025-10-22 19:49:02
"USDC
USDC
Buy",$0.9997,0.01%,0.05%,2025-10-22 19:49:02
"TRON
TRX
Buy",$0.3212,0.15%,1.10%,2025-10-22 19:49:02
"Dogecoin
DOGE
Buy",$0.1908,0.54%,5.97%,2025-10-22 19:49:02
"Cardano
ADA
Buy",$0.6366,0.51%,8.15%,2025-10-22 19:49:02
